feature,contribution
adj_roster_value,0.005853478331118822
opp_rolling_xg_for_5,0.0016380122397094965
opp_rolling_dribble_success_5,-0.0006094920681789517
rolling_tempo_directness_5,-0.0005396417691372335
xi_player_value_sum,-0.000538491178303957
rolling_tempo_passes_5,-0.0005241530016064644
rolling_fouls_won_5,-0.0004109464352950454
starter_avg_age_years,-0.00033676865859888494
rolling_clearances_5,-0.0003184440720360726
opp_rolling_shot_box_share_5,0.00031002506148070097
opp_rolling_tempo_directness_5,-0.0002164500911021605
opp_starter_market_value_m,0.00016748005873523653
opp_rolling_tempo_box_touches_5,0.0001613939821254462
xi_xg_sum,0.00015831738710403442
rolling_progression_5,-0.0001309468934778124
opp_rolling_tempo_corners_5,-0.00012770111788995564
xi_def_actions,0.00011337653268128633
opp_rolling_box_pressure_index_5,0.00011088103201473132
adj_defence_xg_5,-0.00010283958545187488
tackles_won_5,9.403611329616979e-05
rolling_carry_distance_5,-7.963751704664901e-05
rolling_opp_half_pass_accuracy_5,-6.394172669388354e-05
shot_accuracy_5,5.9687878092518076e-05
rolling_tempo_final_third_entries_5,-5.85333546041511e-05
starter_market_value_m,-5.422646427177824e-05
