feature,contribution
adj_roster_value,-0.003992189187556505
starter_market_value_m,-0.0035590538755059242
rolling_tempo_directness_5,-0.0021853542421013117
opp_rolling_xg_for_5,0.0018098513828590512
rolling_tempo_passes_5,-0.0008392909076064825
xi_xg_sum,-0.0007287550251930952
rolling_fouls_won_5,-0.0006592586869373918
opp_rolling_progression_5,-0.0006258577923290431
rolling_clearances_5,-0.00043487900984473526
xi_xa_sum,-0.0004022126377094537
starter_avg_age_years,-0.00037935920408926904
opp_rolling_tempo_shots_5,0.00021363934502005577
opp_rolling_tempo_box_touches_5,0.00018160318722948432
xi_goalkeeper_strength,-0.00018159950559493154
missing_market_value_m,-0.0001571439643157646
possession_proxy_5,-0.00014408244169317186
rolling_opp_half_pass_accuracy_5,-0.00013092104927636683
adj_defence_xg_5,-0.00012536029680632055
xi_player_value_sum,-0.0001066515760612674
rest_days,-0.00010632512567099184
opp_shot_accuracy_5,9.711229358799756e-05
tackles_won_5,9.403611329616979e-05
opp_rolling_box_pressure_index_5,8.254015847342089e-05
opp_rolling_dribble_success_5,-8.154524402925745e-05
opp_missing_market_value_m,7.770334195811301e-05
