              stat_name              | count  
-------------------------------------+--------
 accurateCross                       |  23051
 accurateKeeperSweeper               |   2991
 accurateLongBalls                   |  72555
 accurateOppositionHalfPasses        | 114401
 accurateOwnHalfPasses               | 111398
 accuratePass                        | 117604
 aerialLost                          |  65047
 aerialWon                           |  61884
 ballCarriesCount                    |   7100
 ballRecovery                        | 105959
 bestBallCarryProgression            |   5283
 bigChanceCreated                    |  11085
 bigChanceMissed                     |   8749
 blockedScoringAttempt               |  23627
 challengeLost                       |  48314
 clearanceOffLine                    |    868
 crossNotClaimed                     |    334
 defensiveValueNormalized            |  10275
 dispossessed                        |  48571
 dribbleValueNormalized              |   9945
 duelLost                            | 101580
 duelWon                             | 102283
 errorLeadToAGoal                    |   1423
 errorLeadToAShot                    |   2881
 expectedAssists                     |  44035
 expectedGoals                       |  27597
 expectedGoalsOnTarget               |  23955
 fouls                               |  57757
 goalAssist                          |  28995
 goalkeeperValueNormalized           |    673
 goals                               |  10272
 goalsPrevented                      |   3258
 goodHighClaim                       |   4195
 hitWoodwork                         |   2759
 interceptionWon                     |  51501
 keeperSaveValue                     |    656
 keyPass                             |  48135
 lastManTackle                       |    834
 metersCoveredHighSpeedRunningKm     |    299
 metersCoveredJoggingKm              |    299
 metersCoveredRunningKm              |    299
 metersCoveredSprintingKm            |    299
 metersCoveredWalkingKm              |    299
 minutesPlayed                       | 120046
 onTargetScoringAttempt              |  27652
 outfielderBlock                     |  22192
 ownGoals                            |    406
 passValueNormalized                 |  10227
 penaltyConceded                     |   1092
 penaltyFaced                        |    931
 penaltyMiss                         |    218
 penaltySave                         |    160
 penaltyWon                          |    905
 possessionLostCtrl                  | 104215
 progressiveBallCarriesCount         |   4717
 punches                             |   2853
 rating                              | 117448
 ratingVersions                      |  39133
 savedShotsFromInsideTheBox          |   6916
 saves                               |   7846
 shotOffTarget                       |  31183
 shotValueNormalized                 |   4875
 statisticsType                      | 160457
 totalBallCarriesDistance            |   7100
 totalClearance                      |  66638
 totalContest                        |  60117
 totalCross                          |  52832
 totalKeeperSweeper                  |   3130
 totalLongBalls                      |  89856
 totalOffside                        |  12258
 totalOppositionHalfPasses           | 117133
 totalOwnHalfPasses                  | 113140
 totalPass                           | 118564
 totalProgression                    |   7100
 totalProgressiveBallCarriesDistance |   3145
 totalShots                          | 160457
 totalTackle                         |  68837
 touches                             | 118263
 unsuccessfulTouch                   |  62922
 wasFouled                           |  54173
 wonContest                          |  43891
 wonTackle                           |  44825
(82 rows)

